Brand,Km_Driven,Fuel,Owner,Selling_Price
Toyota,15460,Petrol,Third Owner,263328
Mercedes,128016,LPG,Third Owner,473130
Skoda,121526,Diesel,Forth & Above Owner,332148
Volvo,66669,Diesel,Second Owner,430637
Honda,10816,LPG,Third Owner,246880
Mahindra,14976,Petrol,Forth & Above Owner,281396
TATA,134626,LPG,Second Owner,152494
TATA,23058,CNG,Forth & Above Owner,274643
Kia,59941,LPG,Forth & Above Owner,285277
Honda,72803,LPG,Third Owner,303631
Toyota,9737,CNG,Third Owner,396537
Volkswagen,83574,CNG,Forth & Above Owner,354680
Jeep,117677,CNG,Second Owner,391650
BMW,37644,CNG,Third Owner,389771
Volkswagen,104370,CNG,Second Owner,111508
Fiat,7609,LPG,Forth & Above Owner,426814
Jaguar,31334,Petrol,Second Owner,131752
Mercedes,122721,Diesel,Forth & Above Owner,192654
Jeep,189012,Diesel,First Owner,481731
BMW,149823,LPG,Third Owner,491016
Hyundai,120579,Diesel,Forth & Above Owner,253878
Volkswagen,143069,Diesel,Second Owner,284153
Volkswagen,148001,Diesel,Second Owner,362480
Fiat,64973,LPG,Forth & Above Owner,131973
Honda,70320,Diesel,Third Owner,394365
Mahindra,149868,Petrol,Third Owner,483223
Volkswagen,27058,CNG,Forth & Above Owner,398212
Audi,130565,CNG,First Owner,201743
BMW,43410,Petrol,Third Owner,149416
BMW,112094,LPG,Forth & Above Owner,330652
Toyota,53868,Diesel,Forth & Above Owner,239758
Hyundai,133441,Petrol,First Owner,333091
Jeep,158711,LPG,Second Owner,489736
Jeep,142566,Petrol,Second Owner,274934
Honda,155983,CNG,Second Owner,335488
Honda,48518,Petrol,Second Owner,156867
Audi,152931,Diesel,Second Owner,455616
Volkswagen,150560,Diesel,Third Owner,308299
Mahindra,138333,Diesel,Third Owner,348168
Jeep,145433,Diesel,Forth & Above Owner,128153
Honda,155664,Petrol,First Owner,203188
Hyundai,155068,CNG,Second Owner,263455
TATA,153673,Petrol,Forth & Above Owner,155890
Volvo,63218,Diesel,Forth & Above Owner,197679
Fiat,77208,Petrol,Second Owner,261720
TATA,79402,Petrol,Third Owner,272172
Jaguar,136763,CNG,Forth & Above Owner,140227
Honda,145493,Diesel,First Owner,468475
Skoda,184029,LPG,Forth & Above Owner,201818
Fiat,35469,CNG,Forth & Above Owner,159894
Skoda,52912,Petrol,Forth & Above Owner,123023
Kia,108315,LPG,Forth & Above Owner,196412
Mahindra,124014,LPG,Third Owner,352505
Audi,163085,CNG,Second Owner,156982
Kia,65965,LPG,Forth & Above Owner,248528
BMW,118949,Petrol,Third Owner,139821
Audi,6830,CNG,Third Owner,284898
Honda,144923,Diesel,First Owner,461712
TATA,125200,LPG,Forth & Above Owner,320486
BMW,198540,Diesel,First Owner,144225
Hyundai,73926,LPG,Second Owner,475899
Hyundai,111868,CNG,Third Owner,392375
Audi,157982,Petrol,First Owner,395428
Hyundai,16803,Petrol,Second Owner,180505
Toyota,143636,Petrol,Forth & Above Owner,128720
BMW,11827,CNG,Forth & Above Owner,440680
Toyota,22344,CNG,Third Owner,289046
Fiat,190827,CNG,Third Owner,408262
Fiat,108730,Diesel,Third Owner,390664
Honda,84610,Diesel,Third Owner,456803
Honda,186269,Diesel,Second Owner,273716
Fiat,67541,Petrol,First Owner,223205
Volkswagen,78362,LPG,Second Owner,328841
Fiat,37241,CNG,First Owner,151323
Mahindra,134015,Petrol,First Owner,268343
TATA,193760,Petrol,Second Owner,290795
Jaguar,170337,Diesel,Second Owner,328943
Honda,29985,LPG,Forth & Above Owner,333719
Audi,156113,Petrol,First Owner,440086
Toyota,65267,Petrol,Forth & Above Owner,207235
Mahindra,108697,CNG,Third Owner,432426
Mahindra,50933,LPG,Third Owner,122151
Mercedes,194611,CNG,Forth & Above Owner,460537
Fiat,68676,Diesel,Second Owner,303923
Fiat,26876,Diesel,Forth & Above Owner,460812
Skoda,66599,Petrol,Second Owner,282427
TATA,5970,Diesel,Third Owner,154919
BMW,195757,Petrol,Third Owner,309535
Jeep,74797,Petrol,First Owner,336557
Mercedes,57098,CNG,First Owner,206946
BMW,65718,Diesel,First Owner,414999
Mahindra,81876,LPG,Second Owner,119203
TATA,161549,LPG,Second Owner,433910
Skoda,102888,Diesel,Second Owner,101454
Mahindra,187782,CNG,First Owner,447836
Volvo,146849,CNG,Forth & Above Owner,357850
Skoda,87224,Diesel,First Owner,138768
Volkswagen,159830,Diesel,Third Owner,377602
Honda,50312,Petrol,Third Owner,247882
Volkswagen,55378,CNG,Third Owner,235078
Honda,94573,Petrol,Forth & Above Owner,401017
Mercedes,70475,Diesel,Second Owner,319685
Hyundai,189377,CNG,Forth & Above Owner,175795
Mahindra,147840,Petrol,Second Owner,178014
Audi,69772,Diesel,Forth & Above Owner,498327
Toyota,191788,LPG,First Owner,205128
Kia,130590,CNG,Third Owner,284629
Honda,23333,Petrol,Forth & Above Owner,162351
Hyundai,117498,Diesel,Third Owner,241158
Jaguar,159168,CNG,Second Owner,490267
Mahindra,142148,Diesel,Third Owner,490269
Kia,15273,Diesel,First Owner,499354
Volkswagen,174892,Diesel,Forth & Above Owner,232001
BMW,135740,LPG,Third Owner,341663
BMW,14728,LPG,Forth & Above Owner,288575
BMW,151796,CNG,Third Owner,220747
Audi,50863,LPG,Second Owner,373314
Mahindra,114094,CNG,First Owner,407611
Volvo,59526,LPG,Forth & Above Owner,155695
Volkswagen,19122,LPG,Third Owner,279694
Jeep,77994,LPG,First Owner,221587
Hyundai,191456,CNG,First Owner,209785
BMW,160227,LPG,First Owner,393894
Toyota,111949,CNG,Third Owner,400777
Mahindra,43916,Diesel,Third Owner,305805
Mercedes,88890,Diesel,Forth & Above Owner,494361
BMW,139478,LPG,Forth & Above Owner,228657
Audi,82715,CNG,Second Owner,237623
Jaguar,94861,Diesel,Forth & Above Owner,180844
Skoda,139408,Diesel,Second Owner,448397
Jeep,68300,Diesel,Forth & Above Owner,162724
Honda,44648,Petrol,First Owner,153156
Audi,189855,Petrol,Third Owner,486453
Fiat,124982,Diesel,Third Owner,202258
Kia,127359,LPG,First Owner,103485
Jaguar,63464,LPG,Second Owner,103347
Mahindra,83872,CNG,First Owner,405944
TATA,32407,Petrol,First Owner,371082
Skoda,73484,Diesel,Third Owner,274603
Audi,110341,Diesel,Third Owner,456983
Jaguar,170209,CNG,Forth & Above Owner,277123
Honda,48525,Petrol,Forth & Above Owner,455826
Hyundai,51255,Diesel,First Owner,111370
Audi,137543,Diesel,Third Owner,430248
Jaguar,163098,Petrol,First Owner,440062
Skoda,119479,CNG,Third Owner,411416
Mahindra,143353,CNG,Second Owner,254854
Jeep,188308,Petrol,Second Owner,325952
Volvo,123988,LPG,Second Owner,190752
Skoda,103957,Petrol,Forth & Above Owner,254979
Audi,111712,Diesel,Forth & Above Owner,437959
Fiat,58290,CNG,Second Owner,309017
Audi,156187,Petrol,Third Owner,470205
Skoda,160577,CNG,Second Owner,217375
Volvo,89183,Diesel,First Owner,132117
Fiat,72372,Diesel,Second Owner,196637
TATA,161704,LPG,Forth & Above Owner,237825
Jeep,137049,Petrol,Third Owner,466961
Skoda,64473,LPG,First Owner,470421
Mercedes,169093,CNG,First Owner,143485
Audi,94208,Diesel,First Owner,137752
Jeep,155810,CNG,Second Owner,311108
Fiat,100334,Diesel,First Owner,169086
Honda,190312,Diesel,Second Owner,276031
Honda,27927,Petrol,Forth & Above Owner,196706
BMW,42507,LPG,First Owner,151119
Fiat,49075,Diesel,Third Owner,214667
Jeep,151032,CNG,First Owner,271756
BMW,128833,Petrol,Forth & Above Owner,371505
Hyundai,117260,LPG,Third Owner,120914
Jeep,74777,Petrol,Second Owner,218933
TATA,70581,LPG,Forth & Above Owner,490012
TATA,186840,CNG,Second Owner,469578
Toyota,83714,Diesel,First Owner,483021
Fiat,118397,Petrol,Forth & Above Owner,390938
Volkswagen,110865,LPG,Forth & Above Owner,495792
Honda,81119,CNG,First Owner,222700
Hyundai,62863,LPG,Second Owner,363221
Mercedes,182053,LPG,First Owner,129863
Fiat,32603,Diesel,Second Owner,398427
Kia,36279,Petrol,Forth & Above Owner,329016
Kia,121345,LPG,Forth & Above Owner,462586
Mercedes,197352,CNG,First Owner,371190
Mercedes,197812,CNG,Third Owner,319187
TATA,73552,CNG,First Owner,464979
Jeep,98562,Petrol,Third Owner,432739
Jeep,104294,Petrol,First Owner,447302
Hyundai,129268,CNG,Forth & Above Owner,419522
Fiat,30920,LPG,Forth & Above Owner,126815
BMW,12200,CNG,Forth & Above Owner,210565
BMW,83323,Diesel,Forth & Above Owner,423990
Hyundai,59226,LPG,First Owner,465473
Mercedes,158071,Diesel,Forth & Above Owner,337456
Volvo,103419,LPG,Forth & Above Owner,106026
Jaguar,27439,Petrol,First Owner,410357
TATA,65867,LPG,Second Owner,180536
Jeep,135604,CNG,First Owner,133174
Jeep,131174,Diesel,Forth & Above Owner,362670
Audi,137896,Petrol,Third Owner,431501
Jaguar,14415,LPG,Second Owner,122778
BMW,65374,Diesel,Forth & Above Owner,135313
Jeep,146062,LPG,First Owner,213843
Hyundai,58836,CNG,Third Owner,196062
Jaguar,117450,Diesel,Forth & Above Owner,118244
Volvo,74388,Diesel,First Owner,274436
Mahindra,66723,CNG,Second Owner,368637
TATA,28953,Diesel,First Owner,316526
Kia,96577,Petrol,Forth & Above Owner,389883
Volkswagen,175794,Diesel,Third Owner,468046
Mahindra,68110,CNG,Second Owner,176169
Toyota,188597,Petrol,First Owner,105752
Audi,106842,Diesel,Third Owner,102915
Toyota,29900,Diesel,Second Owner,394878
Mercedes,91387,CNG,First Owner,200831
Hyundai,71069,Petrol,Forth & Above Owner,204206
Kia,61367,Petrol,Forth & Above Owner,220305
Jaguar,112142,Petrol,First Owner,357296
Volkswagen,119331,Diesel,Third Owner,218749
Kia,72917,CNG,Second Owner,175304
Audi,185292,Petrol,Second Owner,227264
BMW,130399,LPG,First Owner,451224
Volkswagen,145597,Diesel,First Owner,316642
BMW,137072,Diesel,Third Owner,144099
Volvo,165803,LPG,Second Owner,300696
Toyota,90741,Diesel,First Owner,325403
Mercedes,109264,Petrol,Second Owner,483762
Volkswagen,143639,Petrol,First Owner,357068
Audi,16429,LPG,Third Owner,359566
Volkswagen,76071,Diesel,First Owner,493653
Jaguar,147410,CNG,First Owner,474752
Kia,63182,Petrol,Forth & Above Owner,226061
Audi,29358,LPG,Third Owner,176256
Jeep,167182,Petrol,Forth & Above Owner,173325
Kia,125844,CNG,First Owner,384970
Fiat,199832,CNG,First Owner,119669
Kia,78317,Petrol,Second Owner,270492
Kia,70116,CNG,Second Owner,262517
Audi,9475,Petrol,Second Owner,179309
Mahindra,33472,CNG,Forth & Above Owner,309557
Toyota,26208,Petrol,Second Owner,492795
Fiat,142133,CNG,First Owner,192372
Jeep,169811,CNG,Third Owner,482412
Toyota,148371,LPG,Second Owner,487690
Jeep,117686,LPG,Second Owner,499303
TATA,133991,Diesel,Third Owner,165858
TATA,142073,LPG,Second Owner,476271
Kia,187977,LPG,Forth & Above Owner,474427
Audi,179908,LPG,First Owner,221016
TATA,129494,Diesel,Second Owner,304891
Mercedes,23607,LPG,Third Owner,133958
Hyundai,172860,LPG,Third Owner,446842
Volvo,62809,Diesel,Forth & Above Owner,127197
Audi,91103,Diesel,First Owner,437464
Jaguar,28626,LPG,First Owner,422041
Hyundai,74997,Petrol,First Owner,125411
Kia,92268,Petrol,Second Owner,192627
Volvo,156855,LPG,Forth & Above Owner,140082
BMW,6925,Petrol,First Owner,113264
Toyota,88069,CNG,First Owner,446830
Kia,120643,CNG,Second Owner,359141
Jaguar,31113,LPG,Forth & Above Owner,401470
Hyundai,179392,CNG,First Owner,199973
Audi,141924,Diesel,Third Owner,275397
Jaguar,154197,Diesel,First Owner,272168
TATA,97916,LPG,Second Owner,284209
Skoda,19877,Petrol,First Owner,384695
Toyota,162820,Diesel,Third Owner,286337
TATA,29810,LPG,Third Owner,386526
Fiat,147140,CNG,Forth & Above Owner,460875
Honda,6568,LPG,First Owner,191778
Honda,14093,LPG,Forth & Above Owner,136863
Audi,72476,Diesel,Third Owner,301324
Honda,35947,Petrol,First Owner,116835
Honda,46453,Petrol,Forth & Above Owner,104916
TATA,44263,Petrol,Forth & Above Owner,386800
Fiat,35624,CNG,First Owner,325889
Hyundai,36206,CNG,Third Owner,131980
Fiat,89899,Diesel,Third Owner,368196
Hyundai,108827,LPG,Second Owner,370708
TATA,65317,CNG,Second Owner,293309
Fiat,169226,Petrol,Third Owner,302873
Mercedes,143548,Diesel,Second Owner,370074
Mahindra,72719,LPG,Second Owner,440259
Volkswagen,173525,CNG,Forth & Above Owner,302933
Jeep,174848,Petrol,First Owner,193134
TATA,88490,Diesel,Second Owner,407401
BMW,105693,Petrol,Forth & Above Owner,216316
Fiat,27532,LPG,Third Owner,305163
Skoda,66100,LPG,Third Owner,478639
Volkswagen,74328,Diesel,First Owner,192393
Mercedes,144337,Diesel,Third Owner,193524
Skoda,157232,Petrol,First Owner,155827
TATA,70303,LPG,Third Owner,240561
Kia,160034,Petrol,Third Owner,308499
Jaguar,144572,CNG,Third Owner,361798
Toyota,84659,Diesel,Second Owner,266068
Honda,196377,Diesel,Third Owner,368036
Volvo,6526,LPG,Third Owner,208680
BMW,77813,Petrol,Second Owner,328066
Skoda,82781,LPG,Forth & Above Owner,216004
Jaguar,59660,CNG,Forth & Above Owner,271543
BMW,176377,Petrol,First Owner,389974
Volvo,159710,Diesel,First Owner,334810
Fiat,185780,CNG,Second Owner,116739
BMW,109872,CNG,Second Owner,493870
Skoda,88668,Diesel,Forth & Above Owner,247974
Mercedes,131028,CNG,Forth & Above Owner,286004
Toyota,71907,LPG,Third Owner,265692
Audi,183992,CNG,Second Owner,469008
TATA,78388,CNG,Third Owner,419810
Honda,79001,LPG,Third Owner,140611
Volvo,165059,CNG,Third Owner,261651
Kia,84281,Petrol,Forth & Above Owner,130327
Fiat,116832,Diesel,Forth & Above Owner,181608
Fiat,196265,Petrol,Third Owner,362613
Honda,79403,CNG,Forth & Above Owner,319555
Jeep,118743,Diesel,Third Owner,389135
BMW,117176,LPG,Third Owner,363940
Mercedes,69486,CNG,Third Owner,145115
Mahindra,66142,CNG,Second Owner,363469
BMW,115398,Petrol,Second Owner,373525
Mahindra,120247,Diesel,Second Owner,438721
Hyundai,122430,LPG,Third Owner,130313
Honda,83010,Petrol,Third Owner,436178
Kia,81143,Diesel,Third Owner,349777
Jeep,77448,CNG,First Owner,171242
TATA,27730,Petrol,First Owner,149132
Mahindra,68340,Petrol,Second Owner,471240
Skoda,94711,LPG,Forth & Above Owner,264474
Honda,114394,Petrol,Forth & Above Owner,269228
Fiat,177886,CNG,Forth & Above Owner,200512
BMW,176195,Petrol,First Owner,332157
Jaguar,30534,LPG,Forth & Above Owner,414518
Volvo,138950,Petrol,First Owner,349649
Toyota,43598,Diesel,Third Owner,338781
Toyota,171055,LPG,Third Owner,387228
Volvo,125581,Diesel,Second Owner,360771
Mercedes,159285,CNG,First Owner,104196
Skoda,149886,LPG,Forth & Above Owner,168166
BMW,180975,LPG,Third Owner,149172
Toyota,108689,CNG,Third Owner,214836
Toyota,91020,LPG,Forth & Above Owner,385457
Skoda,33357,Diesel,Forth & Above Owner,407244
Mahindra,64322,Diesel,Second Owner,391548
Audi,105260,Diesel,First Owner,182597
Mercedes,178201,Petrol,Second Owner,267423
Volkswagen,71471,Petrol,Forth & Above Owner,229360
Volvo,190818,Diesel,First Owner,170447
Jaguar,13178,LPG,Third Owner,255828
Jaguar,123257,Petrol,Second Owner,483892
Toyota,141076,Petrol,Forth & Above Owner,165127
Mercedes,191257,Diesel,First Owner,322821
Jeep,37283,Petrol,Second Owner,423409
Jeep,9087,Diesel,Forth & Above Owner,300173
BMW,122385,Diesel,Second Owner,163185
Mercedes,152912,CNG,First Owner,131861
Jaguar,38761,CNG,Second Owner,241847
Hyundai,104913,LPG,Forth & Above Owner,172144
Mercedes,138059,CNG,First Owner,219618
Jeep,57262,Diesel,Third Owner,149757
Fiat,65996,LPG,Second Owner,191557
Hyundai,96927,Petrol,First Owner,104199
Jaguar,53658,LPG,Third Owner,236656
Audi,160770,LPG,Third Owner,257877
Kia,188066,LPG,Third Owner,160547
Mercedes,106470,CNG,Second Owner,428939
Volkswagen,38979,Petrol,Forth & Above Owner,258824
TATA,22339,CNG,Third Owner,135873
Jaguar,75018,Diesel,Third Owner,279291
Honda,107150,Petrol,First Owner,243822
Jaguar,88892,CNG,Second Owner,426334
Jeep,44497,Petrol,Third Owner,371710
Honda,143817,CNG,Second Owner,428583
Hyundai,147323,CNG,Third Owner,136079
Volvo,111091,LPG,First Owner,435736
Skoda,149711,LPG,First Owner,495327
Jeep,161853,Petrol,First Owner,188657
Jaguar,99946,Diesel,Forth & Above Owner,198408
Jaguar,130076,LPG,Forth & Above Owner,267746
Mercedes,150858,CNG,Second Owner,387712
Toyota,13680,Diesel,Forth & Above Owner,343884
Mercedes,42601,CNG,First Owner,354490
Hyundai,39225,Petrol,Forth & Above Owner,308590
Jeep,63839,Diesel,Third Owner,377109
Volkswagen,149157,LPG,Third Owner,295344
Jaguar,184958,Diesel,First Owner,195071
Kia,12695,CNG,Third Owner,401332
Mahindra,106536,CNG,Forth & Above Owner,230850
Volvo,132555,Diesel,Third Owner,303548
Audi,102027,CNG,First Owner,412604
TATA,126372,CNG,First Owner,314193
Honda,41474,LPG,Forth & Above Owner,403069
Volkswagen,121195,Diesel,First Owner,326221
Skoda,81034,CNG,Third Owner,162209
Hyundai,187466,Petrol,Forth & Above Owner,393068
Volkswagen,73714,Petrol,First Owner,208147
Jeep,146153,Petrol,First Owner,284502
Hyundai,18291,CNG,First Owner,164056
Jaguar,149238,Petrol,Second Owner,409146
Kia,134626,LPG,Second Owner,185710
Jaguar,12017,LPG,Third Owner,220494
Mercedes,55451,Diesel,Forth & Above Owner,441026
Jeep,120380,Petrol,Second Owner,224884
Hyundai,95487,CNG,First Owner,199731
Mahindra,188455,Diesel,First Owner,404002
Jaguar,43885,CNG,First Owner,394978
Hyundai,24468,Petrol,Third Owner,360977
Jeep,115346,LPG,Second Owner,316584
Audi,177006,CNG,Forth & Above Owner,256595
Honda,36302,Diesel,First Owner,195056
Honda,115977,Diesel,Third Owner,293760
Mercedes,168424,LPG,First Owner,118968
Volkswagen,16677,CNG,Second Owner,477433
Toyota,142002,Diesel,Second Owner,194139
Mercedes,127475,LPG,First Owner,335985
Audi,98047,Petrol,First Owner,189064
Skoda,108187,LPG,Second Owner,157331
Toyota,110445,LPG,Forth & Above Owner,397587
Volkswagen,93966,Petrol,First Owner,483420
BMW,176095,CNG,Second Owner,188256
Audi,11204,CNG,Third Owner,478254
Toyota,85971,Diesel,Forth & Above Owner,373595
Volkswagen,187650,CNG,First Owner,374579
Hyundai,31376,Diesel,Third Owner,456084
Jeep,100664,CNG,Third Owner,253326
Kia,62020,LPG,First Owner,445545
Audi,81953,CNG,Second Owner,237245
Volkswagen,80540,LPG,First Owner,353629
Mahindra,74698,Diesel,Second Owner,194311
Audi,103543,CNG,Third Owner,180611
Fiat,190468,Petrol,Third Owner,460181
BMW,14955,Petrol,First Owner,477832
Mahindra,54504,Diesel,Third Owner,160307
Mahindra,196153,LPG,Forth & Above Owner,452634
Fiat,94058,CNG,Second Owner,419127
Kia,29118,LPG,Forth & Above Owner,434347
Toyota,140939,Diesel,Third Owner,434757
Honda,179829,CNG,Second Owner,467684
Fiat,44131,LPG,First Owner,469965
Skoda,110721,CNG,Third Owner,488458
Mahindra,175890,Petrol,Forth & Above Owner,205429
Hyundai,106287,LPG,Forth & Above Owner,208498
Mahindra,51189,LPG,Second Owner,376287
Toyota,63179,CNG,Third Owner,370000
Audi,71995,Diesel,Second Owner,175644
Fiat,193413,Diesel,Second Owner,389779
Mercedes,74076,LPG,Second Owner,461650
Mercedes,189276,Diesel,First Owner,498258
Hyundai,44631,Petrol,First Owner,441479
TATA,152922,CNG,First Owner,456826
Hyundai,129658,Petrol,Second Owner,427026
Mahindra,28621,Diesel,Forth & Above Owner,243473
Volvo,13514,Petrol,Third Owner,263466
Hyundai,138522,Diesel,Forth & Above Owner,268763
Mercedes,107974,Diesel,Forth & Above Owner,353789
Volkswagen,92980,Diesel,Third Owner,274140
Mahindra,109105,Diesel,Third Owner,482468
Skoda,63197,CNG,Third Owner,364774
Fiat,123581,CNG,Forth & Above Owner,397384
Audi,196480,Diesel,Second Owner,323715
BMW,166858,Petrol,Forth & Above Owner,235075
Kia,74438,LPG,Forth & Above Owner,152264
Mercedes,78320,Petrol,Forth & Above Owner,450382
Hyundai,194172,LPG,Forth & Above Owner,164921
Fiat,179605,Diesel,Third Owner,464116
Mercedes,134482,LPG,Forth & Above Owner,499379
Honda,143005,Diesel,Second Owner,442793
Mercedes,59519,Petrol,First Owner,329269
Hyundai,44824,Diesel,Forth & Above Owner,198397
Volkswagen,60020,Petrol,Second Owner,228130
Mahindra,100665,Diesel,Third Owner,123529
Jaguar,121463,Petrol,First Owner,431241
Jaguar,116832,Diesel,Forth & Above Owner,169818
BMW,60737,Diesel,First Owner,229821
Volkswagen,95375,Petrol,Forth & Above Owner,486086
Fiat,149277,Diesel,Second Owner,123839
Volkswagen,149151,LPG,Second Owner,100793
Toyota,84010,Petrol,First Owner,159795
Jeep,76773,CNG,Second Owner,348516
Mahindra,43499,Diesel,Forth & Above Owner,363335
Kia,43744,Diesel,First Owner,450217
Mercedes,139541,LPG,Second Owner,407287
Audi,87701,Petrol,First Owner,437835
Volvo,167961,CNG,First Owner,264664
Toyota,135611,CNG,Second Owner,203858
Jeep,55271,Diesel,Second Owner,315156
TATA,183018,Diesel,Third Owner,473519
Jaguar,138763,CNG,Forth & Above Owner,317102
TATA,149010,Petrol,Second Owner,432692
Honda,12785,CNG,Second Owner,293789
Volkswagen,15591,CNG,First Owner,425820
Kia,91843,Petrol,First Owner,328155
BMW,108930,Diesel,Third Owner,330236
Kia,181507,Petrol,Forth & Above Owner,488225
Audi,36100,LPG,Third Owner,292812
Jaguar,132168,LPG,Forth & Above Owner,134462
Skoda,122412,Petrol,Forth & Above Owner,346105
Toyota,167252,Diesel,Third Owner,439728
Fiat,71111,Diesel,Third Owner,404100
Kia,146265,CNG,Second Owner,321709
Mercedes,48908,Petrol,Third Owner,332297
Volvo,173808,Diesel,Third Owner,483085
Volkswagen,112319,CNG,Forth & Above Owner,330956
Mahindra,184526,CNG,Forth & Above Owner,248028
Jeep,43013,LPG,Third Owner,443916
TATA,173616,Diesel,Second Owner,496447
Audi,167438,CNG,Forth & Above Owner,303462
Mahindra,29872,LPG,First Owner,455306
Toyota,160501,CNG,First Owner,174688
BMW,184389,Diesel,First Owner,347946
Volvo,142813,Diesel,Second Owner,358460
Honda,17634,Petrol,Third Owner,143663
Jaguar,64048,LPG,First Owner,439636
Audi,30784,CNG,First Owner,287469
Skoda,65926,LPG,First Owner,340687
Jaguar,128282,Petrol,Second Owner,487858
Hyundai,181046,CNG,Forth & Above Owner,284565
Kia,88575,Petrol,Forth & Above Owner,210103
Fiat,20974,LPG,First Owner,249580
Jeep,93406,Diesel,Forth & Above Owner,198974
Audi,154659,LPG,Forth & Above Owner,128023
TATA,7883,Petrol,First Owner,238003
